Action	动作
Racing / RC Cars	速度竞赛 / RC 轿车
Racing / Demolition	速度竞赛 / 破坏
Racing / F1	速度竞赛 / F1
Racing / F1-3D	速度竞赛 / F1-3D
Racing / Horse	速度竞赛 / 赛马
Racing / Kart	速度竞赛 / 卡丁车
Racing / Kiddie Ride	速度竞赛 / 小孩 驾驶
Racing / Motorbike	速度竞赛 / 摩托车
Racing / Motorbike 2	速度竞赛 / 摩托车 2
Racing / Train	速度竞赛 / 火车
Racing / Truck	速度竞赛 / 卡车
Space / Adventure	空间 / 冒险
Space / Aliens	空间 / 外星人
Space / Asteroids	空间 / 小行星
Space / Base Defense	空间 / 基地 防守
Space / Cyber Tank	空间 / Cyber 坦克
Space / Defender	空间 / 守卫者
Space / Defender 3D	空间 / 守卫者 3D
Space / Fighter	空间 / 战斗机
Space / Fighter 2	空间 / 战斗机 2
Space / Fighter 3D	空间 / 战斗机 3D
Space / Force	空间 / 军队
Space / Force 2	空间 / 军队 2
Space / Force 3D	空间 / 军队 3D
Space / Galaxian	空间 / 小蜜蜂
Space / Invaders	空间 / 武装入侵
Space / Invaders 2	空间 / 武装入侵 2
Space / Jetman	空间 / 喷气式飞人
Space / Kids	空间 / 小孩
Space / Kids 2	空间 / 小孩 2
Space / Metal Soldier	空间 / 金属战士
Space / Moon	空间 / 月亮
Space / Planet	空间 / 行星
Space / R-Type	空间 / R-Type
Space / Robots	空间 / 机器人
Space / Shooter	空间 / 射击
Space / Shooter 2	空间 / 射击 2
Space / Star Wars	空间 / 星战
Space / Station	空间 / 基地
Sports / 1	体育 / 1
Sports / Billiard	体育 / 桌球
Sports / Dodge Ball	体育 / 躲避球
Sports / Flying	体育 / 飞
Sports / Football	体育 / 橄榄球足球
Sports / Fun	体育 / 娱乐
Sports / Hockey 2	体育 / 曲棍球 2
Sports / Power Sled	体育 / 动力 雪橇
Sports / Roller	体育 / 轮滑
Sports / Shooting	体育 / 射击
Sports / Shooting 2	体育 / 射击 2
Sports / Ski	体育 / 滑雪
Sports / Speed Ball	体育 / 速度 球
Sports / Squash	体育 / 壁球
Sports / Table Tennis	体育 / 乒乓球
Sports / Water	体育 / 水

